pool_id,project,project_name,chain,symbol,tvl_usd,current_apy,apy_base,apy_reward,stablecoin
747c1d2a-c668-4682-b9f9-296708a3dd90,lido,Lido,Ethereum,STETH,25675365985,2.531,2.531,,False
db678df9-3281-4bc2-a8bb-01160ffd6d48,aave-v3,Aave V3,Ethereum,WEETH,6621094096,0.0002,0.0002,,False
d8c4eff5-c8a9-46fc-a888-057c4c668e72,sky-lending,Sky Lending,Ethereum,SUSDS,4393280572,4,,,True
d4b3c522-6127-4b89-bedf-83641cdcd2eb,rocket-pool,Rocket Pool,Ethereum,RETH,3959468588,2.26123,2.26123,,False
e6435aae-cbe9-4d26-ab2c-a4d533db9972,aave-v3,Aave V3,Ethereum,WSTETH,3819861503,0.00989,0.00989,,False
7e382157-b1bc-406d-b17b-facba43b716e,aave-v3,Aave V3,Ethereum,WBTC,3705323850,0.00665,0.00665,,False
e880e828-ca59-4ec6-8d4f-27182a4dc23d,aave-v3,Aave V3,Ethereum,WETH,2461977923,1.25826,1.25826,,False
f981a304-bb6c-45b8-b0c5-fd2f515ad23a,aave-v3,Aave V3,Ethereum,USDT,2208570850,2.38103,2.38103,,True
b1986007-81f3-4150-9565-94d5a4066ce4,aave-v3,Aave V3,Ethereum,CBBTC,1774017740,0.00195,0.00195,,False
0e7d0722-9054-4907-8593-567b353c0900,jito-liquid-staking,Jito LST,Solana,JITOSOL,1754143577,5.6,5.6,,False
aa70268e-4b52-42bf-a116-608b370f9501,aave-v3,Aave V3,Ethereum,USDC,1136602119,3.11026,3.11026,,True
51d2f8d4-1fb5-4f6b-938b-e9cd17ca1ceb,sky-lending,Sky Lending,Ethereum,WETH,988886495,0,,,False
29932dea-cd71-44c3-95bd-3e1525f4e3dd,aave-v3,Aave V3,Ethereum,SUSDE,782384403,0,0,,True
54600482-cfb9-4dd9-a73b-342cffd4644a,sky-lending,Sky Lending,Ethereum,WETH,743066556,0,,,False
e043585f-923f-4009-934f-005232f34a27,aave-v3,Aave V3,Ethereum,OSETH,460818554,0,0,,False
d3be212c-f337-40e2-87fc-fb636a3de38f,aave-v3,Aave V3,Ethereum,RSETH,448859189,0,0,,False
c1ca08e4-d618-415e-ad63-fcec58705469,compound-v3,Compound V3,Ethereum,WBTC,431773335,0,,,False
85fc6934-c94d-4ebe-9c60-66beb363669f,aave-v3,Aave V3,Ethereum,RLUSD,400009223,0.95202,0.95202,,True
eaece65e-ffb2-4631-a95e-7f267cb2f1ba,kamino-lend,Kamino Lend,Solana,PYUSD,361911592,0.42804,0.42804,,True
d541708e-1283-4feb-bc7a-457fc5f8db2c,aave-v3,Aave V3,Ethereum,WSTETH,351764212,0.03412,0.03412,,False
ccc467d1-bdf5-4062-81cd-7aed7dd9050b,sky-lending,Sky Lending,Ethereum,WSTETH,331720620,0,,,False
21e1ac8a-b3aa-4576-9506-0b40137721a0,aave-v3,Aave V3,Ethereum,USDE,329787507,1.56566,1.56566,,True
8050b953-0e00-4658-9cad-af0647185a6b,aave-v3,Aave V3,Ethereum,PT-SUSDE-5FEB2026,313677801,0,0,,False
c8a24fee-ec00-4f38-86c0-9f6daebc4225,sky-lending,Sky Lending,Ethereum,DAI,284385709,1.25,,,True
89bc7c4c-d71c-435c-ab28-56c803d51320,aave-v3,Aave V3,Base,CBBTC,281306722,0.05043,0.05043,,False
b7444791-ecab-4bc4-85dc-9eb351064d98,aave-v3,Aave V3,Ethereum,LBTC,272866942,0,0,,False
ff2a68af-030c-4697-b0a1-b62a738eaef0,aave-v3,Aave V3,Ethereum,SGHO,262076160,5.30955,,,True
3df9ffeb-8c72-438c-a9ae-026488d8f2b2,aave-v3,Aave V3,Arbitrum,WEETH,247613599,2e-05,2e-05,,False
