date,apy,tvl_usd
2024-01-01,7.50,624000000
2024-01-15,7.48,660000000
2024-02-01,7.40,720000000
2024-02-15,7.50,780000000
2024-03-01,7.60,850000000
2024-03-15,7.70,950000000
2024-04-01,7.80,1100000000
2024-04-15,7.65,1150000000
2024-05-01,7.50,1200000000
2024-05-15,7.40,1300000000
2024-06-01,7.30,1400000000
2024-06-15,7.25,1600000000
2024-07-01,7.20,1800000000
2024-07-15,7.30,1900000000
2024-07-24,7.40,2000000000
2024-08-01,7.35,2100000000
2024-08-15,7.40,2150000000
2024-09-01,7.45,2200000000
2024-09-15,7.40,2300000000
2024-10-01,7.30,2400000000
2024-10-15,7.40,2450000000
2024-10-31,7.50,2500000000
2024-11-01,7.40,2600000000
2024-11-15,7.20,3000000000
2024-12-01,7.00,2800000000
2024-12-15,7.10,2700000000
2025-01-01,7.24,2600000000
2025-01-15,7.20,2650000000
2025-02-01,7.15,2680000000
2025-02-19,7.10,2700000000
2025-03-01,7.00,2500000000
2025-03-15,6.95,2400000000
2025-04-01,6.90,2350000000
2025-04-15,6.85,2300000000
2025-05-01,6.80,2280000000
2025-05-15,6.78,2260000000
2025-06-01,6.80,2200000000
2025-06-15,6.70,2180000000
2025-07-01,6.65,2150000000
2025-07-15,6.60,2130000000
2025-08-01,6.55,2120000000
2025-08-15,6.50,2110000000
2025-09-01,6.50,2100000000
2025-09-15,6.45,2150000000
2025-10-01,6.42,2200000000
2025-10-16,6.40,2300000000
2025-11-01,6.35,2250000000
2025-11-15,6.30,2200000000
2025-12-01,6.20,2100000000
2025-12-15,6.10,2080000000
2026-01-01,6.05,2060000000
2026-01-10,6.00,2050000000
2026-01-15,5.98,2048000000
2026-01-22,5.96,2045000000
