date,pool_id,symbol,project,chain,tvl_usd,apy,apy_base,apy_reward
2023-10-09,61b4c35c-97f6-4c05-a5ff-aeb4426adf5b,GM:ETH-USDC,gmx-v2-perps,Arbitrum,16951889,7.24316,7.24316,0
2023-10-10,61b4c35c-97f6-4c05-a5ff-aeb4426adf5b,GM:ETH-USDC,gmx-v2-perps,Arbitrum,16907516,11.89306,11.89306,0
2023-10-11,61b4c35c-97f6-4c05-a5ff-aeb4426adf5b,GM:ETH-USDC,gmx-v2-perps,Arbitrum,17384788,11.50671,11.50671,0
2023-10-12,61b4c35c-97f6-4c05-a5ff-aeb4426adf5b,GM:ETH-USDC,gmx-v2-perps,Arbitrum,17443869,12.93879,12.93879,0
2023-10-13,61b4c35c-97f6-4c05-a5ff-aeb4426adf5b,GM:ETH-USDC,gmx-v2-perps,Arbitrum,17756855,13.34596,13.34596,0
2023-10-14,61b4c35c-97f6-4c05-a5ff-aeb4426adf5b,GM:ETH-USDC,gmx-v2-perps,Arbitrum,17830657,13.30763,13.30763,0
2023-10-15,61b4c35c-97f6-4c05-a5ff-aeb4426adf5b,GM:ETH-USDC,gmx-v2-perps,Arbitrum,17922583,13.3205,13.3205,0
2023-10-16,61b4c35c-97f6-4c05-a5ff-aeb4426adf5b,GM:ETH-USDC,gmx-v2-perps,Arbitrum,17912825,12.49383,12.49383,0
2023-10-17,61b4c35c-97f6-4c05-a5ff-aeb4426adf5b,GM:ETH-USDC,gmx-v2-perps,Arbitrum,19118325,8.07288,8.07288,0
2023-10-18,61b4c35c-97f6-4c05-a5ff-aeb4426adf5b,GM:ETH-USDC,gmx-v2-perps,Arbitrum,20193582,7.94839,7.94839,0
2023-10-19,61b4c35c-97f6-4c05-a5ff-aeb4426adf5b,GM:ETH-USDC,gmx-v2-perps,Arbitrum,20084005,6.90421,6.90421,0
2023-10-20,61b4c35c-97f6-4c05-a5ff-aeb4426adf5b,GM:ETH-USDC,gmx-v2-perps,Arbitrum,20246094,8.01804,8.01804,0
2023-10-21,61b4c35c-97f6-4c05-a5ff-aeb4426adf5b,GM:ETH-USDC,gmx-v2-perps,Arbitrum,20358688,9.47704,9.47704,0
2023-10-22,61b4c35c-97f6-4c05-a5ff-aeb4426adf5b,GM:ETH-USDC,gmx-v2-perps,Arbitrum,20546864,10.01787,10.01787,0
2023-10-23,61b4c35c-97f6-4c05-a5ff-aeb4426adf5b,GM:ETH-USDC,gmx-v2-perps,Arbitrum,17406939,15.41626,15.41626,0
2023-10-24,61b4c35c-97f6-4c05-a5ff-aeb4426adf5b,GM:ETH-USDC,gmx-v2-perps,Arbitrum,17367539,19.84088,19.84088,0
2023-10-25,61b4c35c-97f6-4c05-a5ff-aeb4426adf5b,GM:ETH-USDC,gmx-v2-perps,Arbitrum,28840787,15.52523,15.52523,0
2023-10-26,61b4c35c-97f6-4c05-a5ff-aeb4426adf5b,GM:ETH-USDC,gmx-v2-perps,Arbitrum,29368995,18.16154,18.16154,0
2023-10-27,61b4c35c-97f6-4c05-a5ff-aeb4426adf5b,GM:ETH-USDC,gmx-v2-perps,Arbitrum,29273497,19.08868,19.08868,0
2023-10-28,61b4c35c-97f6-4c05-a5ff-aeb4426adf5b,GM:ETH-USDC,gmx-v2-perps,Arbitrum,29514900,19.81341,19.81341,0
2023-10-29,61b4c35c-97f6-4c05-a5ff-aeb4426adf5b,GM:ETH-USDC,gmx-v2-perps,Arbitrum,29868319,20.21289,20.21289,0
2023-10-30,61b4c35c-97f6-4c05-a5ff-aeb4426adf5b,GM:ETH-USDC,gmx-v2-perps,Arbitrum,30875860,17.66265,17.66265,0
2023-10-31,61b4c35c-97f6-4c05-a5ff-aeb4426adf5b,GM:ETH-USDC,gmx-v2-perps,Arbitrum,30037836,16.02868,16.02868,0
2023-11-01,61b4c35c-97f6-4c05-a5ff-aeb4426adf5b,GM:ETH-USDC,gmx-v2-perps,Arbitrum,29126026,13.91886,13.91886,0
