date,symbol,ticker,open,high,low,close,volume
2021-12-28,BTC,BTC-USD,50679.86,50679.86,47414.21,47588.86,33430376883
2021-12-29,BTC,BTC-USD,47623.87,48119.74,46201.5,46444.71,30049226299
2021-12-30,BTC,BTC-USD,46490.61,47879.96,46060.31,47178.12,26686491018
2021-12-31,BTC,BTC-USD,47169.37,48472.53,45819.95,46306.45,36974172400
2022-01-01,BTC,BTC-USD,46311.75,47827.31,46288.48,47686.81,24582667004
2022-01-02,BTC,BTC-USD,47680.93,47881.41,46856.94,47345.22,27951569547
2022-01-03,BTC,BTC-USD,47343.54,47510.73,45835.96,46458.12,33071628362
2022-01-04,BTC,BTC-USD,46458.85,47406.55,45752.46,45897.57,42494677905
2022-01-05,BTC,BTC-USD,45899.36,46929.05,42798.22,43569.0,36851084859
2022-01-06,BTC,BTC-USD,43565.51,43748.72,42645.54,43160.93,30208048289
2022-01-07,BTC,BTC-USD,43153.57,43153.57,41077.45,41557.9,84196607520
2022-01-08,BTC,BTC-USD,41561.46,42228.94,40672.28,41733.94,28066355845
2022-01-09,BTC,BTC-USD,41734.73,42663.95,41338.16,41911.6,21294384372
2022-01-10,BTC,BTC-USD,41910.23,42199.48,39796.57,41821.26,32104232331
2022-01-11,BTC,BTC-USD,41819.51,43001.16,41407.75,42735.86,26327648900
2022-01-12,BTC,BTC-USD,42742.18,44135.37,42528.99,43949.1,33499938689
2022-01-13,BTC,BTC-USD,43946.74,44278.42,42447.04,42591.57,47691135082
2022-01-14,BTC,BTC-USD,42598.87,43346.69,41982.62,43099.7,23577403399
2022-01-15,BTC,BTC-USD,43101.9,43724.67,42669.04,43177.4,18371348298
2022-01-16,BTC,BTC-USD,43172.04,43436.81,42691.02,43113.88,17902097845
2022-01-17,BTC,BTC-USD,43118.12,43179.39,41680.32,42250.55,21690904261
2022-01-18,BTC,BTC-USD,42250.07,42534.4,41392.21,42375.63,22417209227
2022-01-19,BTC,BTC-USD,42374.04,42478.3,41242.91,41744.33,23091543258
2022-01-20,BTC,BTC-USD,41744.03,43413.02,40672.82,40680.42,20382033940
2022-01-21,BTC,BTC-USD,40699.61,41060.53,35791.43,36457.32,43011992031
2022-01-22,BTC,BTC-USD,36471.59,36688.81,34349.25,35030.25,39714385405
2022-01-23,BTC,BTC-USD,35047.36,36433.31,34784.97,36276.8,26017975951
2022-01-24,BTC,BTC-USD,36275.73,37247.52,33184.06,36654.33,41856658597
2022-01-25,BTC,BTC-USD,36654.8,37444.57,35779.43,36954.0,26428189594
2022-01-26,BTC,BTC-USD,36950.52,38825.41,36374.91,36852.12,31324598034
2022-01-27,BTC,BTC-USD,36841.88,37148.32,35629.28,37138.23,25041426629
2022-01-28,BTC,BTC-USD,37128.45,37952.88,36211.11,37784.33,22238830523
2022-01-29,BTC,BTC-USD,37780.71,38576.26,37406.47,38138.18,17194183075
2022-01-30,BTC,BTC-USD,38151.92,38266.34,37437.71,37917.6,14643548444
2022-01-31,BTC,BTC-USD,37920.28,38647.26,36733.57,38483.12,20734730465
2022-02-01,BTC,BTC-USD,38481.77,39115.13,38113.66,38743.27,20288500328
2022-02-02,BTC,BTC-USD,38743.71,38834.62,36832.73,36952.98,19155189416
