date,bullish_pct,bearish_pct,neutral_pct,bull_bear_spread
2020-01-02,33.1,29.4,37.5,3.7
2020-01-09,40.6,23.6,35.8,17.0
2020-01-16,41.8,25.4,32.8,16.4
2020-01-23,38.9,27.2,33.9,11.7
2020-01-30,35.2,29.9,34.9,5.3
2020-02-06,36.5,28.7,34.8,7.8
2020-02-13,42.3,24.5,33.2,17.8
2020-02-20,38.0,29.0,33.0,9.0
2020-02-27,28.5,40.0,31.5,-11.5
2020-03-05,30.0,45.0,25.0,-15.0
2020-03-12,25.0,50.0,25.0,-25.0
2020-03-19,24.0,52.1,23.9,-28.1
2020-03-26,30.0,48.0,22.0,-18.0
2020-04-02,33.0,45.0,22.0,-12.0
2020-04-16,27.0,52.0,21.0,-25.0
2020-04-30,31.0,47.0,22.0,-16.0
2020-05-14,30.0,43.0,27.0,-13.0
2020-05-28,32.0,38.0,30.0,-6.0
2020-06-11,37.0,34.0,29.0,3.0
2020-06-25,26.0,39.0,35.0,-13.0
2020-07-09,30.0,38.0,32.0,-8.0
2020-07-23,25.0,42.0,33.0,-17.0
2020-08-06,30.5,34.0,35.5,-3.5
2020-08-20,35.0,30.0,35.0,5.0
2020-09-03,34.0,35.0,31.0,-1.0
2020-09-17,29.0,40.0,31.0,-11.0
2020-10-01,26.0,40.0,34.0,-14.0
2020-10-15,29.5,36.0,34.5,-6.5
2020-10-29,24.0,44.0,32.0,-20.0
2020-11-12,55.8,24.1,20.1,31.7
2020-11-26,50.0,25.0,25.0,25.0
2020-12-10,48.0,24.0,28.0,24.0
2020-12-24,45.0,27.0,28.0,18.0
2020-12-31,46.0,26.0,28.0,20.0
2021-01-07,63.3,20.0,16.7,43.3
2021-01-21,42.0,27.0,31.0,15.0
2021-02-04,38.0,28.0,34.0,10.0
2021-02-18,45.0,24.0,31.0,21.0
2021-03-04,40.0,30.0,30.0,10.0
2021-03-18,45.8,23.8,30.4,22.0
2021-04-01,44.0,23.0,33.0,21.0
2021-04-15,48.0,22.0,30.0,26.0
2021-04-29,39.0,26.0,35.0,13.0
2021-05-13,36.0,35.0,29.0,1.0
2021-05-27,38.0,31.0,31.0,7.0
2021-06-10,44.0,24.0,32.0,20.0
2021-06-24,36.0,31.0,33.0,5.0
2021-07-08,42.0,26.0,32.0,16.0
2021-07-22,39.0,28.0,33.0,11.0
2021-08-05,36.0,30.0,34.0,6.0
2021-08-19,42.0,25.0,33.0,17.0
2021-09-02,38.0,30.0,32.0,8.0
2021-09-16,29.0,39.0,32.0,-10.0
2021-09-30,26.0,41.0,33.0,-15.0
2021-10-14,35.0,32.0,33.0,3.0
2021-10-28,42.0,26.0,32.0,16.0
2021-11-11,48.0,22.0,30.0,26.0
2021-11-25,38.0,28.0,34.0,10.0
2021-12-09,32.0,36.0,32.0,-4.0
2021-12-23,37.0,30.0,33.0,7.0
2021-12-30,34.0,33.0,33.0,1.0
2022-01-13,25.0,41.0,34.0,-16.0
2022-01-27,23.0,46.0,31.0,-23.0
2022-02-10,27.0,40.0,33.0,-13.0
2022-02-24,19.0,48.0,33.0,-29.0
2022-03-10,23.0,45.0,32.0,-22.0
2022-03-24,32.0,37.0,31.0,-5.0
2022-04-07,24.0,43.0,33.0,-19.0
2022-04-14,15.8,48.4,35.8,-32.6
2022-04-28,26.0,41.0,33.0,-15.0
2022-05-12,21.0,52.0,27.0,-31.0
2022-05-26,24.0,47.0,29.0,-23.0
2022-06-09,18.0,59.0,23.0,-41.0
2022-06-23,18.2,58.3,23.5,-40.1
2022-07-07,26.0,46.0,28.0,-20.0
2022-07-21,27.0,43.0,30.0,-16.0
