date,hy_spread,ig_spread
2020-01-02,339,91
2020-01-31,373,107
2020-02-28,479,162
2020-03-16,947,342
2020-03-23,1087,401
2020-03-31,880,321
2020-04-30,725,253
2020-05-29,643,224
2020-06-30,626,217
2020-07-31,541,188
2020-08-31,508,170
2020-09-30,517,163
2020-10-30,532,173
2020-11-30,394,142
2020-12-31,386,138
2021-01-29,335,122
2021-02-26,316,117
2021-03-31,310,115
2021-04-30,293,111
2021-05-28,281,107
2021-06-30,268,108
2021-07-30,319,121
2021-08-31,290,112
2021-09-30,303,117
2021-10-29,282,107
2021-11-30,323,125
2021-12-31,283,108
2022-01-31,330,128
2022-02-28,374,152
2022-03-31,343,144
2022-04-29,398,163
2022-05-31,420,175
2022-06-30,599,196
2022-07-15,583,189
2022-07-29,471,169
2022-08-31,492,179
2022-09-30,556,201
2022-10-12,586,212
2022-10-31,499,185
2022-11-30,443,167
2022-12-30,481,180
2023-01-31,423,157
2023-02-28,436,167
2023-03-31,466,176
2023-04-28,427,162
2023-05-31,431,163
2023-06-30,386,148
2023-07-31,355,137
2023-08-31,372,142
2023-09-29,380,144
2023-10-31,406,154
2023-11-30,351,127
2023-12-29,323,115
2024-01-31,322,117
2024-02-29,302,108
2024-03-28,305,105
2024-04-30,319,111
2024-05-31,305,105
2024-06-28,303,102
2024-07-31,323,108
2024-08-30,310,104
2024-09-30,295,100
2024-10-31,298,101
2024-11-29,271,97
2024-12-31,266,100
2025-01-31,272,99
2025-02-28,278,101
2025-03-31,285,103
2025-04-30,292,106
2025-05-30,280,100
2025-06-30,275,98
2025-07-31,282,99
2025-08-29,288,101
2025-09-30,280,95
2025-10-10,318,102
2025-10-31,294,102
2025-11-29,290,104
2025-12-31,289,101
2026-01-10,278,99
2026-01-17,275,100
2026-01-21,273,100
2026-01-22,274,100
2026-01-23,272,99
