date,btc_close,eth_close,sol_close
2020-01-01,7188.46,130.79,
2020-01-31,9350.00,173.52,
2020-02-29,8599.51,226.20,
2020-03-12,3850.00,89.35,
2020-03-31,6438.64,133.22,0.22
2020-04-30,8788.00,213.98,0.68
2020-05-31,9455.00,231.55,0.78
2020-06-30,9135.00,225.00,0.50
2020-07-31,11351.00,334.64,1.12
2020-08-31,11655.00,434.47,2.85
2020-09-30,10776.00,361.00,1.50
2020-10-31,13780.00,393.35,1.35
2020-11-30,19625.00,577.50,1.68
2020-12-31,28956.27,737.11,1.51
2021-01-31,33114.00,1315.00,3.50
2021-02-28,45240.00,1416.00,10.50
2021-03-31,58918.00,1917.00,17.80
2021-04-30,57750.00,2773.00,44.00
2021-05-19,36000.00,2500.00,38.00
2021-05-31,37305.00,2388.00,28.00
2021-06-30,35040.00,2275.00,32.00
2021-07-31,41461.00,2546.00,38.50
2021-08-31,47156.00,3432.00,98.00
2021-09-09,46000.00,3400.00,216.00
2021-09-30,43820.00,3001.00,142.00
2021-10-31,61318.00,4287.00,205.00
2021-11-10,68789.00,4858.00,259.44
2021-11-30,57005.00,4631.00,205.00
2021-12-31,46218.00,3679.00,170.31
2022-01-31,38483.00,2687.00,96.00
2022-02-28,43193.00,2921.00,95.00
2022-03-31,45538.00,3283.00,135.00
2022-04-30,38469.00,2816.00,90.00
2022-05-12,26700.00,1800.00,45.00
2022-05-31,31792.00,1944.00,42.00
2022-06-18,18948.00,1008.00,26.00
2022-06-30,19785.00,1068.00,33.00
2022-07-31,23336.00,1681.00,40.00
2022-08-31,20050.00,1554.00,32.00
2022-09-30,19432.00,1329.00,33.00
2022-10-31,20495.00,1573.00,32.00
2022-11-09,16872.00,1195.00,14.00
2022-11-30,17168.00,1298.00,14.50
2022-12-31,16547.00,1196.00,9.96
2023-01-31,23139.00,1586.00,24.50
2023-02-28,23147.00,1606.00,23.00
2023-03-31,28478.00,1822.00,20.50
2023-04-30,29252.00,1870.00,22.00
2023-05-31,27219.00,1874.00,21.00
2023-06-30,30477.00,1934.00,18.00
2023-07-31,29236.00,1857.00,25.00
2023-08-31,25931.00,1638.00,20.00
2023-09-30,26968.00,1671.00,22.50
2023-10-31,34500.00,1815.00,32.00
2023-11-30,37715.00,2041.00,58.00
2023-12-31,42265.00,2281.00,101.44
2024-01-11,46000.00,2500.00,105.00
2024-01-31,42585.00,2281.00,97.00
2024-02-29,62000.00,3450.00,130.00
2024-03-14,73000.00,4094.00,200.00
2024-03-31,71290.00,3611.00,185.00
2024-04-30,60667.00,3018.00,135.00
2024-05-31,67520.00,3760.00,165.00
2024-06-30,62700.00,3450.00,145.00
2024-07-31,64628.00,3250.00,182.00
2024-08-31,59014.00,2513.00,135.00
2024-09-30,63500.00,2650.00,158.00
2024-10-31,70215.00,2660.00,175.00
2024-11-30,97000.00,3580.00,238.00
2024-12-17,108268.00,4000.00,220.00
2024-12-31,93000.00,3340.00,189.64
2025-01-19,106000.00,3400.00,294.87
2025-01-31,102000.00,3200.00,245.00
2025-02-28,85000.00,2400.00,160.00
2025-03-31,82000.00,1850.00,125.00
2025-04-30,95000.00,1800.00,150.00
2025-05-31,105000.00,2500.00,175.00
2025-06-30,95000.00,2800.00,150.00
2025-07-31,105000.00,4200.00,185.00
2025-08-24,110000.00,4952.00,200.00
2025-08-31,108000.00,4500.00,195.00
2025-09-30,100000.00,3500.00,165.00
2025-10-06,126272.00,3800.00,220.00
2025-10-29,110047.00,3200.00,180.00
2025-10-31,105000.00,3100.00,170.00
2025-11-30,98000.00,3050.00,145.00
2025-12-31,95000.00,2971.00,124.66
2026-01-01,94500.00,3004.00,126.88
2026-01-05,93000.00,3228.00,138.00
2026-01-10,91500.00,3087.00,135.86
2026-01-15,92000.00,3318.00,142.40
2026-01-17,100000.00,3200.00,185.00
2026-01-20,89217.00,2939.00,125.83
2026-01-21,90500.00,2980.00,128.00
2026-01-22,89700.00,2962.00,126.12
2026-01-23,91200.00,3015.00,130.50
