date,protocol,chain,pool,apy,tvl_usd
2024-01-01,aave-v3,ethereum,USDC,6.50,1500000000
2024-01-15,aave-v3,ethereum,USDC,6.35,1550000000
2024-02-01,aave-v3,ethereum,USDC,6.20,1600000000
2024-02-15,aave-v3,ethereum,USDC,6.00,1700000000
2024-03-01,aave-v3,ethereum,USDC,5.80,1800000000
2024-03-15,aave-v3,ethereum,USDC,6.50,1850000000
2024-04-01,aave-v3,ethereum,USDC,7.50,1900000000
2024-04-15,aave-v3,ethereum,USDC,7.00,1950000000
2024-05-01,aave-v3,ethereum,USDC,6.00,2000000000
2024-05-15,aave-v3,ethereum,USDC,5.70,2050000000
2024-06-01,aave-v3,ethereum,USDC,5.50,2100000000
2024-06-15,aave-v3,ethereum,USDC,5.20,2150000000
2024-07-01,aave-v3,ethereum,USDC,5.00,2200000000
2024-07-15,aave-v3,ethereum,USDC,4.90,2250000000
2024-08-01,aave-v3,ethereum,USDC,4.80,2300000000
2024-08-15,aave-v3,ethereum,USDC,4.60,2350000000
2024-09-01,aave-v3,ethereum,USDC,4.50,2400000000
2024-09-15,aave-v3,ethereum,USDC,4.60,2450000000
2024-10-01,aave-v3,ethereum,USDC,4.80,2500000000
2024-10-15,aave-v3,ethereum,USDC,5.20,2550000000
2024-11-01,aave-v3,ethereum,USDC,6.00,2600000000
2024-11-15,aave-v3,ethereum,USDC,7.00,2650000000
2024-12-01,aave-v3,ethereum,USDC,8.00,2700000000
2024-12-15,aave-v3,ethereum,USDC,6.50,2750000000
2025-01-01,aave-v3,ethereum,USDC,5.00,2800000000
2025-01-15,aave-v3,ethereum,USDC,4.80,2900000000
2025-02-01,aave-v3,ethereum,USDC,4.70,2950000000
2025-03-01,aave-v3,ethereum,USDC,4.63,3010000000
2025-04-01,aave-v3,ethereum,USDC,2.98,2740000000
2025-05-01,aave-v3,ethereum,USDC,2.70,2430000000
2025-06-01,aave-v3,ethereum,USDC,3.59,2490000000
2025-07-01,aave-v3,ethereum,USDC,4.01,2870000000
2025-08-01,aave-v3,ethereum,USDC,3.81,3970000000
2025-09-01,aave-v3,ethereum,USDC,4.31,6140000000
2025-10-01,aave-v3,ethereum,USDC,4.47,5600000000
2025-11-01,aave-v3,ethereum,USDC,3.74,5340000000
2025-12-01,aave-v3,ethereum,USDC,4.21,4620000000
2026-01-01,aave-v3,ethereum,USDC,3.28,4730000000
2026-01-15,aave-v3,ethereum,USDC,3.35,4550000000
2026-01-22,aave-v3,ethereum,USDC,3.46,4480000000
2024-01-01,compound-v3,arbitrum,USDC,4.50,20000000
2024-02-01,compound-v3,arbitrum,USDC,5.00,22000000
2024-03-01,compound-v3,arbitrum,USDC,5.50,25000000
2024-04-01,compound-v3,arbitrum,USDC,5.30,28000000
2024-05-01,compound-v3,arbitrum,USDC,5.10,32000000
2024-06-01,compound-v3,arbitrum,USDC,5.00,35000000
2024-07-01,compound-v3,arbitrum,USDC,4.80,40000000
2024-08-01,compound-v3,arbitrum,USDC,4.50,45000000
2024-09-01,compound-v3,arbitrum,USDC,4.20,55000000
2024-10-01,compound-v3,arbitrum,USDC,4.00,65000000
2024-11-01,compound-v3,arbitrum,USDC,3.90,72000000
2024-12-01,compound-v3,arbitrum,USDC,3.80,80000000
2025-01-01,compound-v3,arbitrum,USDC,3.70,85000000
2025-02-01,compound-v3,arbitrum,USDC,3.60,88000000
2025-03-01,compound-v3,arbitrum,USDC,3.50,90000000
2025-04-01,compound-v3,arbitrum,USDC,3.45,92000000
2025-05-01,compound-v3,arbitrum,USDC,3.42,95000000
