date,us_m2_bn,us_m2_yoy
2020-01-01,15416.3,6.7
2020-02-01,15466.6,6.8
2020-03-01,15993.4,10.1
2020-04-01,17005.4,16.8
2020-05-01,17852.9,21.8
2020-06-01,18140.6,22.8
2020-07-01,18297.7,23.2
2020-08-01,18364.1,23.0
2020-09-01,18596.4,23.7
2020-10-01,18751.1,23.6
2020-11-01,18978.9,24.2
2020-12-01,19133.0,24.7
2021-01-01,19359.5,25.6
2021-02-01,19596.5,26.7
2021-03-01,19823.2,23.9
2021-04-01,20161.5,18.6
2021-05-01,20430.5,14.4
2021-06-01,20472.9,12.9
2021-07-01,20628.1,12.7
2021-08-01,20811.0,13.3
2021-09-01,20979.1,12.8
2021-10-01,21142.1,12.7
2021-11-01,21316.7,12.3
2021-12-01,21471.0,12.2
2022-01-01,21587.3,11.5
2022-02-01,21684.8,10.7
2022-03-01,21721.3,9.6
2022-04-01,21750.0,7.9
2022-05-01,21690.7,6.2
2022-06-01,21642.9,5.7
2022-07-01,21641.6,4.9
2022-08-01,21606.7,3.8
2022-09-01,21521.0,2.6
2022-10-01,21424.4,1.3
2022-11-01,21358.1,0.2
2022-12-01,21219.0,-1.2
2023-01-01,21205.3,-1.8
2023-02-01,21184.5,-2.3
2023-03-01,20876.0,-3.9
2023-04-01,20729.8,-4.7
2023-05-01,20801.1,-4.1
2023-06-01,20782.7,-4.0
2023-07-01,20772.0,-4.0
2023-08-01,20746.9,-4.0
2023-09-01,20720.4,-3.7
2023-10-01,20687.3,-3.4
2023-11-01,20696.7,-3.1
2023-12-01,20701.3,-2.4
2024-01-01,20773.1,-2.0
2024-02-01,20861.1,-1.5
2024-03-01,20900.9,0.1
2024-04-01,20928.9,1.0
2024-05-01,20989.4,0.9
2024-06-01,21053.0,1.3
2024-07-01,21084.2,1.5
2024-08-01,21171.0,2.0
2024-09-01,21257.5,2.6
2024-10-01,21308.1,3.0
2024-11-01,21407.9,3.4
2024-12-01,21424.5,3.5
2025-01-01,21492.4,3.5
2025-02-01,21564.6,3.4
2025-03-01,21636.7,3.5
2025-04-01,21770.5,4.0
2025-05-01,21827.4,4.0
2025-06-01,21942.4,4.2
2025-07-01,22028.8,4.5
2025-08-01,22108.4,4.4
2025-09-01,22212.5,4.5
2025-10-01,22298.1,4.6
