date,fear_greed_index,fear_greed_label
2020-01-02,41,Fear
2020-01-15,52,Neutral
2020-02-01,55,Greed
2020-02-15,50,Neutral
2020-03-01,40,Fear
2020-03-12,14,Extreme Fear
2020-03-13,10,Extreme Fear
2020-03-14,8,Extreme Fear
2020-03-17,8,Extreme Fear
2020-03-26,8,Extreme Fear
2020-03-31,12,Extreme Fear
2020-04-15,15,Extreme Fear
2020-04-30,20,Extreme Fear
2020-05-15,42,Fear
2020-06-01,53,Neutral
2020-06-30,41,Fear
2020-07-31,53,Neutral
2020-08-31,74,Greed
2020-09-30,46,Fear
2020-10-31,54,Neutral
2020-11-30,92,Extreme Greed
2020-12-31,95,Extreme Greed
2021-01-15,78,Extreme Greed
2021-02-01,93,Extreme Greed
2021-02-28,55,Greed
2021-03-31,64,Greed
2021-04-15,78,Extreme Greed
2021-05-01,67,Greed
2021-05-19,11,Extreme Fear
2021-05-31,21,Extreme Fear
2021-06-30,25,Fear
2021-07-31,42,Fear
2021-08-21,79,Extreme Greed
2021-09-30,27,Fear
2021-10-31,73,Greed
2021-11-09,84,Extreme Greed
2021-11-30,34,Fear
2021-12-31,29,Fear
2022-01-31,24,Extreme Fear
2022-02-28,27,Fear
2022-03-31,51,Neutral
2022-04-30,28,Fear
2022-05-12,10,Extreme Fear
2022-05-31,12,Extreme Fear
2022-06-19,6,Extreme Fear
2022-06-30,11,Extreme Fear
2022-07-31,30,Fear
2022-08-31,27,Fear
2022-09-30,22,Extreme Fear
2022-10-31,30,Fear
2022-11-09,29,Fear
2022-11-12,12,Extreme Fear
2022-11-30,28,Fear
2022-12-31,26,Fear
2023-01-31,55,Greed
2023-02-28,53,Neutral
2023-03-31,64,Greed
2023-04-30,52,Neutral
2023-05-31,48,Fear
2023-06-30,56,Greed
2023-07-31,61,Greed
2023-08-31,40,Fear
2023-09-30,47,Fear
2023-10-25,72,Greed
2023-10-31,65,Greed
2023-11-30,74,Greed
2023-12-31,73,Greed
2024-01-31,63,Greed
2024-02-29,76,Extreme Greed
2024-03-14,82,Extreme Greed
2024-03-31,70,Greed
2024-04-30,43,Fear
2024-05-31,74,Greed
2024-06-30,60,Greed
2024-07-01,60,Greed
2024-07-31,67,Greed
2024-08-31,26,Fear
2024-09-01,35,Fear
2024-09-02,50,Neutral
2024-09-30,61,Greed
2024-10-31,77,Extreme Greed
2024-11-14,80,Extreme Greed
2024-11-30,88,Extreme Greed
2024-12-17,87,Extreme Greed
2024-12-31,66,Greed
2025-01-19,84,Extreme Greed
2025-01-31,72,Greed
2025-02-28,30,Fear
2025-03-21,20,Extreme Fear
2025-03-31,25,Fear
2025-04-30,45,Fear
2025-05-31,60,Greed
2025-06-30,55,Greed
2025-07-31,70,Greed
2025-08-31,75,Extreme Greed
2025-09-30,65,Greed
2025-10-05,95,Extreme Greed
2025-10-06,71,Greed
2025-10-31,55,Greed
2025-11-30,40,Fear
2025-12-26,20,Extreme Fear
2025-12-31,22,Extreme Fear
2026-01-04,26,Fear
2026-01-10,32,Fear
2026-01-17,61,Greed
2026-01-22,24,Extreme Fear
2026-01-23,20,Extreme Fear
