strategy_id,strategy_name,simulations,horizon_months,total_deposited,mean_final,median_final,std_final,mean_return,median_return,prob_any_loss,prob_loss_10pct,prob_loss_20pct,prob_loss_50pct,var_95,cvar_95,p5_final,p95_final,mean_max_drawdown,p95_max_drawdown
1,Safe Harbor,1000,48,19600,21584.83,21793.91,659.95,10.13,11.19,0.9,0.0,0.0,0.0,20230.48,19930.02,20230.48,22348.12,0.55,1.35
2,Stable Growth,1000,48,19600,24965.67,22516.72,12450.8,27.38,14.88,36.8,28.1,20.0,4.2,10276.8,8213.15,10276.8,46757.39,33.93,62.11
3,Goal Keeper,1000,48,19600,21590.44,21792.88,666.56,10.16,11.19,0.4,0.0,0.0,0.0,20194.11,19953.36,20194.11,22331.72,0.55,1.42
4,Steady Progress,1000,48,19600,25633.18,23477.58,13447.27,30.78,19.78,37.2,29.1,22.6,6.7,9373.12,6643.77,9373.12,50415.66,38.8,69.93
5,Patient Builder,1000,48,19600,21588.38,21819.44,655.29,10.14,11.32,0.4,0.0,0.0,0.0,20238.08,19978.92,20238.08,22363.52,0.55,1.36
6,Balanced Builder,1000,48,19600,25373.25,21825.14,16240.63,29.46,11.35,42.6,34.4,27.9,9.0,7694.57,5938.04,7694.57,54560.77,44.01,73.78
7,Steady Compounder,1000,48,19600,21626.78,21828.61,659.12,10.34,11.37,0.6,0.0,0.0,0.0,20312.67,19944.15,20312.67,22380.28,0.55,1.38
8,Wealth Accelerator,1000,48,19600,40095.27,17467.16,308184.07,104.57,-10.88,55.0,50.6,46.0,28.3,2829.95,1311.58,2829.95,101365.16,68.12,93.86
9,Yield Maximizer,1000,48,19600,21613.33,21823.84,636.64,10.27,11.35,0.6,0.0,0.0,0.0,20380.2,19971.91,20380.2,22350.18,0.56,1.41
10,Full Throttle,1000,48,19600,33209.6,15349.97,60581.29,69.44,-21.68,58.1,54.4,50.5,35.4,2141.76,-115.05,2141.76,113690.21,75.2,96.39
